,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1559328587316170754,2022-08-15 23:58:00+00:00,QuantumFires,"What would it take to trade R. Smith from the #Bears &amp; would a Smith/Jack ILB tandem be worth it? #Steelers in my view, Bush is a bust and Spilane isn't the answer.","['Bears', 'Steelers']",2,0,,,would take trade r smith amp would smith jack ilb tandem worth view bush bust spilane isnt answer,0.2263,0.3,0.5263,True
1,1559328334416429057,2022-08-15 23:57:00+00:00,BearsViews,Soldier Field turf blasted by NFL officials following Bears Saturday preseason opener #Bears #ChicagoBears #BearsNation #DaBears https://t.co/U6tTz3FB8E,"['Bears', 'ChicagoBears', 'BearsNation', 'DaBears']",0,0,,,soldier field turf blasted nfl officials following bears saturday preseason opener,0.0,-0.3,-0.3,False
2,1559327269423763458,2022-08-15 23:52:46+00:00,MichaelBeck56,"Who wins this mock trade?

#Steelers receive:
Teven Jenkins
Roquan Smith

#Bears receive:
Chase Claypool
Devin Bush
2023 first round puck","['Steelers', 'Bears']",229,8,,,wins mock trade receive teven jenkins roquan smith receive chase claypool devin bush 2023 first round puck,0.2263,0.11666666666666668,0.3429666666666667,True
3,1559326824508817411,2022-08-15 23:51:00+00:00,BearsViews,"Justin Fields' breakthrough must come soon, and Bears could help him by providing sturdy defense #Bears #ChicagoBears #BearsNation #DaBears https://t.co/5gcykyS49A","['Bears', 'ChicagoBears', 'BearsNation', 'DaBears']",1,0,,,justin fields breakthrough must come soon bears could help providing sturdy defense,0.4939,0.0,0.4939,True
7,1559325349070127104,2022-08-15 23:45:08+00:00,dayhikingtrails,"Watch brown bears fishing for salmon await 
#alaska #katmai #bears https://t.co/5PeBtTT58X https://t.co/S1RPQUIvNf","['alaska', 'katmai', 'bears']",3,1,,,watch brown bears fishing salmon await,0.1027,0.0,0.1027,True
9,1559325143490519041,2022-08-15 23:44:19+00:00,bluegrasskings,He got plenty of um 😉🐻⬇️ the x factor gone be @dazznewsome05 like I knew💪 @RyanPolesBears didn't go on a wr drafting spree cause he signed some nice 1's &amp; hard dazz in the cut &amp; still ended up wit the best wr in the draft #bears https://t.co/2gkd17SiVV,['bears'],0,0,"[User(username='dazznewsome05', id=2737370572, displayname='Dazz Newsome', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RyanPolesBears', id=1387482877030551559, displayname='Ryan Poles', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,got plenty um x factor gone like knew didnt go wr drafting spree cause signed nice 1s amp hard dazz cut amp still ended wit best wr draft,0.7906,0.4361111111111111,1.226711111111111,True
10,1559324881455661059,2022-08-15 23:43:17+00:00,ReevesRondy,How can something so cute be so deadly? Look at his cute lil’ dangerous face! #blackbear #bears #northcarolina #Tennessee https://t.co/UjddRbPcXO,"['blackbear', 'bears', 'northcarolina', 'Tennessee']",2,1,,,something cute deadly look cute lil dangerous face,0.4404,0.05000000000000002,0.49040000000000006,True
11,1559324309746847744,2022-08-15 23:41:00+00:00,BearsViews,Minor NFL Transactions: 8/15/22 #ChicagoBearsNation #DaBears #MonstersOfTheMidway #Bears https://t.co/db4Gzrd48U,"['ChicagoBearsNation', 'DaBears', 'MonstersOfTheMidway', 'Bears']",0,0,,,minor nfl transactions 8 15 22,0.0,-0.05,-0.05,False
13,1559323844317421569,2022-08-15 23:39:09+00:00,MerdyWorld79,Live look of Saint Omni #Bears #BearDown #NFL #SaintOmni #RoquanSmith https://t.co/gzOhnlNtrV,"['Bears', 'BearDown', 'NFL', 'SaintOmni', 'RoquanSmith']",6,0,,,live look saint omni,0.0,0.13636363636363635,0.13636363636363635,True
14,1559323784972320776,2022-08-15 23:38:55+00:00,RadFinch,"@TankHmfk10 @BrendaJWebber Watch what you say- this season’s vital to me, based off of two personal things; 1. this season and every #Bears season is dedicated to a dear football friend I admired for years- my friend Joe, who passed at age 83, and 2. Grandma Bear Virginia McCaskey turns 100, this January.",['Bears'],0,0,"[User(username='TankHmfk10', id=1048299662749433858, displayname='Trevor', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BrendaJWebber', id=429421297, displayname='Brenda Webber', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,watch say season vital based two personal things 1 season every season dedicated dear football friend admired years friend joe passed age 83 2 grandma bear virginia mccaskey turns 100 january,0.9477,0.05,0.9977,True
15,1559323617674010625,2022-08-15 23:38:15+00:00,bluegrasskings,@KingJames he flushed the toilet on dat 1 &amp; others #bears https://t.co/hh3sP1FsPZ,['bears'],0,0,"[User(username='KingJames', id=23083404, displayname='LeBron James', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,flushed toilet dat 1 amp others,0.0,-0.03333333333333333,-0.03333333333333333,False
16,1559323241189150726,2022-08-15 23:36:46+00:00,FXProCopyTrade,"Bears attack with claws DOWNWARD, Bulls attack with horns pushing UPWARD!!!

#fxpro #fxprocopytrade #tradingsystem #tradecopier #copytrade #copytrading #fxprosignals #forex #forextrader #forextrading #forexsignals #forexmarket #investment #bears #bulls #bearish #bullish https://t.co/LVZA4yW97J","['fxpro', 'fxprocopytrade', 'tradingsystem', 'tradecopier', 'copytrade', 'copytrading', 'fxprosignals', 'forex', 'forextrader', 'forextrading', 'forexsignals', 'forexmarket', 'investment', 'bears', 'bulls', 'bearish', 'bullish']",1,0,,,bears attack claws downward bulls attack horns pushing upward,-0.7351,0.0,-0.7351,False
17,1559322798149042184,2022-08-15 23:35:00+00:00,BearsViews,Ebner displays mentality Bears are seeking | Quick Hits #BearsFootball #BearsTalk #DaBears #BearDown #BearsFans https://t.co/WBKMHh3YPo,"['BearsFootball', 'BearsTalk', 'DaBears', 'BearDown', 'BearsFans']",0,0,,,ebner displays mentality bears seeking quick hits,0.0,0.3333333333333333,0.3333333333333333,True
21,1559321805546000385,2022-08-15 23:31:03+00:00,bluegrasskings,I feel we got the best 1 &amp; the 1 that best fits our needs &amp; scheme @Y_DGates #bears @BearsPR #dabears 🐻⬇️ @ChicagoBears @RyanPolesBears https://t.co/lVgErUOUia,"['bears', 'dabears']",1,0,"[User(username='Y_DGates', id=418066262, displayname='D Gates', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='BearsPR', id=842367501400969216, displayname='Bears Communications', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='ChicagoBears', id=47964412, displayname='Chicago Bears', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='RyanPolesBears', id=1387482877030551559, displayname='Ryan Poles', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,feel got best 1 amp 1 best fits needs amp scheme,0.8555,1.0,1.8555000000000001,True
22,1559321791956488194,2022-08-15 23:31:00+00:00,BearsViews,Trevor Siemian on Justin Fields vs. KC: 'I liked how decisive he was' | Chicago Bears #BearsFootball #BearsTalk #DaBears #BearDown #BearsFans https://t.co/5CJOdn5n4z,"['BearsFootball', 'BearsTalk', 'DaBears', 'BearDown', 'BearsFans']",1,0,,,trevor siemian justin fields vs kc liked decisive chicago bears,0.5719,0.6,1.1719,True
25,1559321402305560576,2022-08-15 23:29:27+00:00,CoachMettlach,Had a little extra help at football practice today as the boys earned their stripes running red hill. #BEARS #coachjoey https://t.co/qPjU6N7k2l,"['BEARS', 'coachjoey']",16,0,,,little extra help football practice today boys earned stripes running red hill,0.3446,-0.0625,0.2821,True
26,1559321389127155713,2022-08-15 23:29:24+00:00,RobinByrd3,"@ErikLambert1 And I have read of stories regarding Smith’s mental health and how his issues may be driving this. I like him, but he is making a huge mistake allowing this man to represent him. I hope that he comes to his senses real soon. #Bears",['Bears'],1,0,"[User(username='ErikLambert1', id=319117761, displayname='Erik Lambert', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,read stories regarding smith mental health issues may driving like making huge mistake allowing man represent hope comes senses real soon,0.6486,0.16666666666666666,0.8152666666666666,True
27,1559320775517159424,2022-08-15 23:26:58+00:00,ImTheBreed,"@AdamAAbdalla great point about trying to get something done before a nationally televised game. Also, after hearing about Saint Omni, who’s side yall on? @chrisbleck #Bears",['Bears'],0,0,"[User(username='AdamAAbdalla', id=1684511143, displayname='Adam Abdalla', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='chrisbleck', id=228212745, displayname='Chris Bleck', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,great point trying get something done nationally televised game also hearing saint omni side yall,0.6249,0.2,0.8249,True
29,1559320110942359557,2022-08-15 23:24:19+00:00,bluegrasskings,&amp; 😃😃😃 ya point 🤔 you sound silly @danorlovsky7 your not a real bears fan because you always got something negative to say about #dabears but you &amp; keyshawn &amp; hatin Louis Riddick  gone eat y'all predictions &amp; be embarrassed by our success #bears https://t.co/wNnuYKDWf8,"['dabears', 'bears']",0,0,"[User(username='danorlovsky7', id=322826289, displayname='Dan Orlovsky', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,amp ya point sound silly real bears fan always got something negative say amp keyshawn amp hatin louis riddick gone eat yall predictions amp embarrassed success,-0.0258,0.020000000000000007,-0.005799999999999993,False
32,1559318626162843648,2022-08-15 23:18:25+00:00,usaydkoshul,Check out this awesome deal for some great #Bears gear! https://t.co/5Xrq5Z1er5,['Bears'],1,0,,,check awesome deal great gear,0.8481,0.9,1.7481,True
