,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1579984743902642177,2022-10-11 23:58:12+00:00,JRown32,"The great @bepryor joins me next to talk #Steelers on @937theFan. 

https://t.co/McJBraAawx",['Steelers'],7,3,"[User(username='bepryor', id=189656471, displayname='Brooke Pryor', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='937theFan', id=108637282, displayname='93.7 The Fan', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,great joins next talk,0.6249,0.4,1.0249000000000001,True
3,1579983970200334336,2022-10-11 23:55:07+00:00,OMG_Squidward,Hell no. But I’d do it for 6 1st round picks and 4 2nd round picks. 🎯 #Steelers https://t.co/y6HYfqIJdu,['Steelers'],0,0,,,hell 6 1st round picks 4 2nd round picks,-0.6808,-0.13333333333333333,-0.8141333333333333,False
6,1579983185626411008,2022-10-11 23:52:00+00:00,SteelersNewsNow,Former Steelers DL Brett Keisel Talks Retirement in 2014 And Facing Brutal Honesty From Mike Tomlin On His Failing Abilities #SteelersFootball #HereWeGo #SteelersNation #SteelersFamily https://t.co/PUHaxa1XzW,"['SteelersFootball', 'HereWeGo', 'SteelersNation', 'SteelersFamily']",0,0,,,former steelers dl brett keisel talks retirement 2014 facing brutal honesty mike tomlin failing abilities,-0.4939,-0.4375,-0.9314,False
9,1579982528089202688,2022-10-11 23:49:24+00:00,Steelersdepot,Shawn Smith will be the referee for the Week 6 Sunday game between the Buccaneers and the Steelers at Acrisure Stadium. #Steelers #NFL https://t.co/mDpL8a78Ij,"['Steelers', 'NFL']",2,0,,,shawn smith referee week 6 sunday game buccaneers steelers acrisure stadium,0.0,-0.4,-0.4,False
11,1579981651517771778,2022-10-11 23:45:55+00:00,BrioniBoy12,"@TheSportsGuru91 Yeah, the stability of being a shitty team is a real crowd pleaser. #Steelers #CoachCheer","['Steelers', 'CoachCheer']",0,0,"[User(username='TheSportsGuru91', id=1388607753309102080, displayname='Mark Carmichael', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,yeah stability shitty team real crowd pleaser,0.0772,0.2,0.2772,True
13,1579981456340037634,2022-10-11 23:45:08+00:00,NealCoolong,"A good place to get started, #Steelers fans! | 2023 NFL draft: 4 top prospects who could go No. 1 overall https://t.co/JvXXe4JFwu via @thedraftwire @Nat_NFLDraft",['Steelers'],3,0,"[User(username='TheDraftWire', id=4524612341, displayname='Draft Wire', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Nat_NFLDraft', id=766712054094893056, displayname='Natalie Miller 🏈', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,good place get started fans 2023 nfl draft 4 top prospects could go 1 overall via,0.7096,0.39999999999999997,1.1096,True
14,1579981254283653120,2022-10-11 23:44:20+00:00,SilverburghKane,I’m having recurring nightmares of blitzing minkah on 3rd and long from the 2 yard line….#Steelers,['Steelers'],2,0,,,recurring nightmares blitzing minkah 3rd long 2 yard line,0.0,-0.025,-0.025,False
15,1579980953128407041,2022-10-11 23:43:08+00:00,wtfidgaf2,"@dlolley_pgh It’s crazy reading these comments. 

95% of these alleged Steelers fans were praising Tomlin + his genius in the draft and free agency. Not to mention his winning records + “always finding a way”

Funny.

#Steelers",['Steelers'],5,1,"[User(username='dlolley_pgh', id=271023902, displayname='Dale Lolley', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,crazy reading comments 95 alleged steelers fans praising tomlin genius draft free agency mention winning records always finding way funny,0.8934,0.09000000000000001,0.9833999999999999,True
18,1579980211000872962,2022-10-11 23:40:11+00:00,CornerSportsFS,"Special thanks to @hitstickchris from @hitstickfantasy for talking #Steelers and #FantasyFootball with us on this week’s episode. 

Episode 89 of the Corner Sports #Podcast will be up TOMORROW!

Find us on Apple Podcasts, Spotify, and SoundCloud!","['Steelers', 'FantasyFootball', 'Podcast']",2,2,"[User(username='hitstickchris', id=418414089, displayname='Christopher Sims', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='hitstickfantasy', id=1269449631349583872, displayname='Hit Stick Fantasy', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,special thanks talking us week episode episode 89 corner sports tomorrow find us apple podcasts spotify soundcloud,0.6808,0.2785714285714286,0.9593714285714285,True
24,1579977900274524160,2022-10-11 23:31:00+00:00,SteelersNewsNow,"Pittsburgh Steelers vs. Tampa Bay Buccaneers live stream, TV channel, start time, odds | Week 6 #SteelersCountry #GoSteelers #HereWeGo #SteelersForLife https://t.co/iRlk0kuL7B","['SteelersCountry', 'GoSteelers', 'HereWeGo', 'SteelersForLife']",0,0,,,pittsburgh steelers vs tampa bay buccaneers live stream tv channel start time odds week 6,0.0,0.13636363636363635,0.13636363636363635,True
