,ID,Date,User,Tweet,HashTags,Likes,Retweets,MentionUsers,LocationCoordinates,clean_Tweet,NLTK_Sentiment_Analysis,TextBlob_Sentiment_Analysis,Compound_Sentiment_Score,Positive_Sentiment
0,1561502746477576192,2022-08-21 23:57:20+00:00,JudgeFemUp,"A bit of sunshine for the 🧊🧊

Jaguars defense is going to turn some heads this year led by this man @JoshAllen41_ 

#DUUUVAL #DTWD https://t.co/PuphXCBODK","['DUUUVAL', 'DTWD']",14,0,"[User(username='JoshAllen41_', id=3041576146, displayname='41', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,bit sunshine jaguars defense going turn heads year led man,0.5719,0.0,0.5719,True
1,1561502410090205186,2022-08-21 23:56:00+00:00,JaguarsViews,WR Christian Kirk takes pride in being Jaguars’ go-to guy on third downs #JaguarsFootball #JagsNation #DTWD #Duval #DUUUVAL #JAX https://t.co/ZAvmqoxK9F,"['JaguarsFootball', 'JagsNation', 'DTWD', 'Duval', 'DUUUVAL', 'JAX']",0,0,,,wr christian kirk takes pride jaguars go guy third downs,0.34,0.0,0.34,True
2,1561495561135702018,2022-08-21 23:28:47+00:00,Staffords_House,"1 BOLD prediction for EVERY #NFL division. Starting w/ AFC:

NORTH: Tomlin continues his streak, Steelers go 9-8 #HereWeGo 

SOUTH: Jaguars finish 2nd in division #DUUUVAL 

EAST: Bills finish under 13 wins #BillsMafia

WEST: Raiders win division in a tiebreaker #RaiderNation","['NFL', 'HereWeGo', 'DUUUVAL', 'BillsMafia', 'RaiderNation']",0,0,,,1 bold prediction every division starting w afc north tomlin continues streak steelers go 9 8 south jaguars finish 2nd division east bills finish 13 wins west raiders win division tiebreaker,0.8779,0.2866666666666667,1.1645666666666667,True
4,1561486241295646720,2022-08-21 22:51:45+00:00,ZachPotterTE,Game day in Omaha. Go #Jaguars https://t.co/vgnBo79rAI,['Jaguars'],107,1,,,game day omaha go,0.0,-0.4,-0.4,False
5,1561485804987351040,2022-08-21 22:50:01+00:00,JaguarsViews,Garcia beats Kvitova to win Western &amp; Southern title #JacksonvilleJaguars #Jaguars #Jags #GoJags #JagsFans https://t.co/wmEkI2yLXu,"['JacksonvilleJaguars', 'Jaguars', 'Jags', 'GoJags', 'JagsFans']",1,0,,,garcia beats kvitova win western amp southern title,0.5859,0.26666666666666666,0.8525666666666667,True
6,1561479501619527681,2022-08-21 22:24:58+00:00,CFreemanJAX,"Take a few minutes to read @Demetrius82's story on #Jaguars OT Jawaan Taylor as he enters an emotional season, via @jaxdotcom: https://t.co/i14mqMf6Uc",['Jaguars'],9,1,"[User(username='Demetrius82', id=15216982, displayname='Demetrius Harvey', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='jaxdotcom', id=15572679, displayname='Florida Times-Union', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,take minutes read story ot jawaan taylor enters emotional season via,0.1531,0.0,0.1531,True
7,1561478023450628096,2022-08-21 22:19:06+00:00,BeyondUndsputed,"#Steelers vs #Jaguars 

Well folks, looks like there's been enough talk...

#AEW #AEWDynamite 
#AEWRampage https://t.co/erqQMbaabg https://t.co/7QPhUCutbJ","['Steelers', 'Jaguars', 'AEW', 'AEWDynamite', 'AEWRampage']",2,0,,,vs well folks looks like theres enough talk,0.5574,0.0,0.5574,True
8,1561478010175295489,2022-08-21 22:19:03+00:00,Miss_Botello,Thank you for the update on Del Sol High School’s progress! It’s taking shape and I can’t wait to see it in 2023. #jaguars https://t.co/xqrB16yS9Z,['jaguars'],0,0,,,thank update del sol high school progress taking shape wait see 2023,0.6486,0.16,0.8086,True
12,1561472220727492608,2022-08-21 21:56:02+00:00,raw_chili,"[Demetrius Harvey] #Jaguars who will not dress tonight vs. Steelers, no surprises: 21 CB ... 
 
https://t.co/KmuYuSkKdI
 
#AmericanFootballConference #AmericanFootballConferenceSouthDivision #Florida #Football #Jacksonville #JacksonvilleJaguars #NationalFootballLeague #NFL https://t.co/aRs1mkuWvl","['Jaguars', 'AmericanFootballConference', 'AmericanFootballConferenceSouthDivision', 'Florida', 'Football', 'Jacksonville', 'JacksonvilleJaguars', 'NationalFootballLeague', 'NFL']",0,0,,,dress tonight vs steelers surprises 21 cb,0.2263,0.0,0.2263,True
13,1561470783582621696,2022-08-21 21:50:20+00:00,RhiannaHollenb1,"My wallet felt empty without a #jaguar from the @ApeGangNFT Collection!

Gotta have the TRIO
#apegang #toucans #jaguars 
#NFTCommunity #floorGEM #sessy https://t.co/gzmtsmuibs","['jaguar', 'apegang', 'toucans', 'jaguars', 'NFTCommunity', 'floorGEM', 'sessy']",11,1,"[User(username='ApeGangNFT', id=1389582564264923138, displayname='ApeGang.eth', description=None, rawDescription=None, descriptionUrls=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, linkUrl=None, linkTcourl=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,wallet felt empty without collection gotta trio,-0.2023,-0.1,-0.3023,False
